Headlines,Time,Date
Hold HDFC Bank: R Shah,11.32 am,21-Nov-08
HDFC Bk files case against PNB on charges of fraud,8.45 am,12-Nov-08
HDFC Bank has support at Rs 900: Guppy,11.54 am,06-Nov-08
"Private sector, foreign banks to consider rate cut",8.43 am,06-Nov-08
HDFC Bank opens 1st overseas branch in Bahrain,5.19 pm,05-Nov-08
"Prefer HDFC Bank, Axis Bank: Mohoni",1.37 pm,04-Nov-08
"Banks, NBFCs go slow on CV finance: Sources",10.13 am,04-Nov-08
HDFC gets 2-yr extension to cut capital mkt exposure,2.43 pm,30-Dec-09
Reliance Ind pays Rs 850 crore Oct-Dec advance tax,4.02 pm,15-Dec-09
HDFC Bank bucks the trend: Sees rise in unsecured loans,4.43 pm,20-Nov-09
"Hold HDFC Bank, target Rs 1738: Indiabulls Securities",4.55 pm,12-Nov-09
"ADD HDFC Bank, target Rs 1820: IIFL",1.32 pm,20-Oct-09
Motilal Oswal neutral on HDFC Bank,1.08 pm,20-Oct-09
"Accumulate HDFC Bank, target of Rs 1770: Angel",11.10 am,20-Oct-09
"Buy HDFC Bank, target of Rs 1860: Sharekhan",4.49 pm,15-Oct-09
HDFC Bank Q2 net profit surges 30% to Rs 687.5 cr,1.29 pm,14-Oct-09
HDFC Bank Q2 net profit seen up 24.74% to Rs 658.6 cr,9.31 am,14-Oct-09
HDFC Bank looks overpriced: PN Vijay,11.17 am,12-Oct-09
"Sell HDFC Bank, target of Rs 1100: Karvy",9.00 am,09-Oct-09
HDFC Bank Q2 net profit seen at Rs 683cr: Angel,4.27 pm,07-Oct-09
HDFC Bk Q2 net profit seen at Rs 671cr: KRChoksey,12.30 pm,05-Oct-09
"HDFC Bk Chief on Lehman impact, interest rates, M&A",5.00 pm,19-Sep-09
HDFC looks at acquiring banks if available at good price,10.18 am,18-Sep-09
HDFC Bank can test Rs 1550: Gujral,9.43 am,14-Sep-09
Keki Mistry on HDFC's mega fund-raising drive,3.16 pm,26-Aug-09
HDFC Bank can touch Rs 1520: Gujral,9.56 am,20-Aug-09
HDFC Bank an underperformer: Karvy,10.33 am,10-Aug-09
"Buy Siemens, HDFC Bank: Thacker",6.26 pm,24-Dec-10
"HDFC Bank, SBI may see 4-5% bounce: Thacker",2.29 pm,23-Dec-10
Buy HDFC Bank; target of Rs 2466: KRChoksey,5.44 pm,20-Dec-10
Buy HDFC Bank; target of Rs 2400: Aditya Birla Money,11.07 am,14-Dec-10
Stay away from smallcap banks: Ajay Srivastava,11.51 am,13-Dec-10
Malkani bullish on IDBI bank,7.21 pm,08-Dec-10
State Bank of India has support at Rs 2770: Bhambwani,6.31 pm,08-Dec-10
"Buy HDFC Bank, Axis Bank: Seth",4.34 pm,06-Dec-10
HDFC Bank sees credit growth at 18-20%,3.07 pm,02-Dec-10
Buy realty stocks with long term prospective: Nanavati,6.38 pm,01-Dec-10
Buy HDFC Bank; target of Rs 2550: Aditya Birla Money,11.39 am,29-Nov-10
Buy HDFC Bank on dips: Advani,6.43 pm,26-Nov-10
"Accumulate HDFC Bank, says Manish Shah",3.41 pm,24-Nov-10
Buy HDFC Bank; target of Rs 2475: Aditya Birla Money,6.31 pm,23-Nov-10
Axis Bank has good support at Rs 1400-1420: Gujral,6.20 pm,18-Nov-10
"ICICI Bank, HDFC Bank look weak: Mohindar",5.33 pm,11-Nov-10
Harihar bullish on public sector banks,6.39 pm,03-Nov-10
HDFC Bank a safest bet: Ajay Srivastava,9.44 am,02-Nov-10
UCO Bank has strong support at Rs 115-116: Gujral,5.41 pm,01-Nov-10
HDFC Bank a market performer; target of Rs 2413: Karvy,1.53 pm,23-Oct-10
"HDFC Bank, IndusInd Bank best bets, says Irani",6.29 pm,30-Dec-11
"Good time to buy ICICI Bank, HDFC Bank, says Radhika Gupta",5.22 pm,29-Dec-11
"Book profit in Bharti Airtel, says Phani Sekhar",1.38 pm,27-Dec-11
2012: Year of savings rate war?,11.24 am,24-Dec-11
HDFC Bank to raise NRE deposit rate to 9%,5.56 pm,22-Dec-11
"IndusInd Bank looks weak, says Sukhani",10.32 am,21-Dec-11
Stay away from Reliance Capital: Sukhani,4.55 pm,19-Dec-11
"Prefer Yes Bank, Kotak Mahindra for long term: Mohindar",3.04 pm,16-Dec-11
"Bull's Eye: Buy Lupin, HDFC Bank, Coal India; short Havells",11.14 am,16-Dec-11
Why HSBC Securities feels private banks are a better bet,3.19 pm,13-Dec-11
Super Six trading stocks for short term gain,8.32 am,01-Dec-11
HDFC Bank confident of maintaining margins of 3.9-4.2%,3.21 pm,28-Nov-11
HDFC may slip to Rs 550: Manghnani,10.34 am,25-Nov-11
"Buy ICICI Bank, Axis Bank: Shardul Kulkarni",3.01 pm,24-Nov-11
Stay away from HDFC Bank: Sukhani,2.29 pm,24-Nov-11
Bull's Eye: 12 trading ideas for the day,11.14 am,24-Nov-11
HDFC Bank has support at Rs 396: Kulkarni,3.05 pm,23-Nov-11
Inside Companies: Federal Bank's main focus on SME lending,9.08 am,21-Nov-11
Super Six intraday picks for the day,8.28 am,16-Nov-11
DCB looks attractive: Mehraboon Irani,11.15 am,04-Nov-11
"HDFC Bank cuts base rate by 10 bps, stock down",10.02 am,31-Dec-12
"HDFC Bank mops up Rs 1,405 cr from bonds",8.33 pm,28-Dec-12
HDFC Bank allots debentures worth Rs 1405 cr,6.19 pm,28-Dec-12
Banking shares fall on year-end profit-taking,3.04 pm,28-Dec-12
"Bank credit rises 16%, robust growth expected in Q4",9.07 pm,26-Dec-12
RBI rate hike hits investment growth the most,8.15 pm,24-Dec-12
"HDFC Bank, Axis Bank safe bets: Atul Badkar",10.23 am,20-Dec-12
"Go short on HDFC Bank, ICICI, HDFC: Sukhani",3.21 pm,18-Dec-12
"Global economy still fragile, says RBI",12.56 pm,18-Dec-12
"RBI leaves key rate unchanged, shifts focus to growth",11.02 am,18-Dec-12
Ambareesh Baliga negative on IT space,5.39 pm,17-Dec-12
"Short sell HDFC Bank, Axis Bank: Sukhani",3.59 pm,17-Dec-12
See lower levels in Titan Industries: Sukhani,8.57 am,17-Dec-12
Banks to remain stressed next year too: Fitch,10.00 pm,13-Dec-12
Mkt looking weak; buy ACC & Ambuja Cement on dip: Tulsian,4.55 pm,13-Dec-12
"HDFC Bank Q3 results on Jan 18, 2013",2.26 pm,12-Dec-12
No price correction likely in Mumbai realty market: HDFC,10.10 pm,05-Dec-12
HDFC Bank has target of Rs 735: Amit Gupta,12.49 pm,03-Dec-12
RBI rejected bankers' plea for rate cut in pre-policy meet,9.44 pm,21-Nov-12
HDFC Bank's director Mr. Ashim Samanta completes his tenure,3.17 pm,19-Nov-12
"FIPB to decide on Tesco, HDFC Bank, Vodafone tomorrow",1.34 pm,29-Dec-13
"HDFC Bank's Q3 results on Jan 17, 2014",3.52 pm,27-Dec-13
Sudarshan Sukhani upbeat on private sector banks,5.32 pm,26-Dec-13
Govt ups Axis Bank's foreign ownership limit to 62%,4.00 pm,26-Dec-13
"Buy HDFC Bank, says Sukhani",2.30 pm,26-Dec-13
HDFC Bank appoints Paresh Sukthankar as Deputy MD,8.25 am,26-Dec-13
HDFC Bank: Updates on increasing foreign shareholding limit,9.16 am,19-Dec-13
Stay invested in HDFC Bank: SP Tulsian,6.34 pm,17-Dec-13
HDFC Bank may test Rs 610-620: Shubham Agarwal,3.21 pm,17-Dec-13
"Buy HDFC Bank, says Aditya Agarwal",1.55 pm,17-Dec-13
"Five blue-chip firms lose Rs 22,582cr in value, led by ONGC",11.13 am,15-Dec-13
Keep private sector banks in portfolio: Raamdeo Agrawal,4.00 pm,06-Dec-13
"Prefer ICICI Bank, HDFC Bank: Dhananjay Sinha",2.49 pm,05-Dec-13
Go long in HDFC Bank: Sudarshan Sukhani,9.38 am,05-Dec-13
Super Six short term picks for December 05,8.31 am,05-Dec-13
Draft RBI norms on large banks seek add'l capital buffer,9.49 pm,02-Dec-13
Nandita Parker positive on banking sector,2.49 pm,29-Nov-13
HDFC Bank may rally towards Rs 695: Pritesh Mehta,2.22 pm,29-Nov-13
"Like TCS, Sun Pharma, HDFC Bank, ITC: Sam Mahtani",10.23 am,28-Nov-13
HDFC Bank top pick: Siddharth Teli,3.15 pm,22-Nov-13
"Prefer HPCL, BEML, Oil India: Rajesh Agarwal",4.33 pm,26-Dec-14
"Short ICICI Bank, Axis Bank: Siddharth Bhamre",4.24 pm,24-Dec-14
"Private sector banks may outperform, says Ajay Bagga",4.17 pm,24-Dec-14
HDFC Bank top pick: Jignesh Shial,2.21 pm,24-Dec-14
"Buy HDFC Bank, says Manas Jaiswal",1.48 pm,23-Dec-14
"Buy HDFC Bank, says Sudarshan Sukhani",11.03 am,22-Dec-14
FIPB clears HDFC Bank & Ratnakar Bank FDI proposals,8.36 pm,19-Dec-14
Here are top 10 stocks to focus on December 19,8.44 am,19-Dec-14
"ICICI Bank, HDFC Bank, Bajaj Finance top picks: Sachin Shah",1.29 pm,10-Dec-14
Lending rates can be cut when credit picks up: SBI,8.42 pm,09-Dec-14
"NTPC signs Rs 3,000 cr worth of term loans",4.21 pm,09-Dec-14
OBC cuts rates on select term deposits by 0.10%,8.48 pm,08-Dec-14
Q3 margins may not reflect lower deposit rates: Federal Bk,1.15 pm,08-Dec-14
Prefer HDFC Bank: Sudarshan Sukhani,10.19 am,08-Dec-14
HDFC Bank to cut lending rate by March: Aditya Puri,3.25 pm,05-Dec-14
SBI cuts retail term deposit rates by 25 bps,12.50 pm,05-Dec-14
Here are top 10 stocks to focus on December 4,9.01 am,04-Dec-14
See pick up in credit growth by quarter-end: HDFC Bank,8.36 am,04-Dec-14
Amit Khurana positive on private sector banks,2.30 pm,03-Dec-14
Prefer HDFC Bank over HDFC: Siddharth Bhamre,4.16 pm,27-Nov-14
Tata Steel may slip below Rs 250: Rajat Bose,12.20 pm,30-Dec-15
Short Bank of India; buy IndusInd Bank: Sukhani,9.49 am,30-Dec-15
"DHFL may test Rs 241, Rel Comm to test Rs 93: Prakash Gaba",9.22 am,30-Dec-15
"HDFC Bank cuts base rate by 0.05%, effective January 4",3.59 pm,29-Dec-15
Buy HDFC Bank; may move to Rs 1100: Rajat Bose,9.38 am,29-Dec-15
"Pick Bharat Forge, HDFC Bank, Dr Reddy's Lab: Prakash Gaba",9.36 am,29-Dec-15
"Prefer private sector bank, says Jyotivardhan Jaipuria",11.06 am,25-Dec-15
Bank of Baroda may slip to Rs 152-155: Rajat Bose,10.40 am,21-Dec-15
Prefer Eros International Media: Jigar Shah,4.41 pm,18-Dec-15
"Sell Axis Bank, target Rs 425.50: Rajat Bose",9.40 am,18-Dec-15
"Positive on IT, fin services, logistics cos: Prabhudas L",1.17 pm,17-Dec-15
"HDFC Bank Q3 results on Jan 25, 2016",8.36 pm,16-Dec-15
"Buy Marico, Sun Pharma; sell HDFC Bank: Gaurav Bissa",2.54 pm,16-Dec-15
"ASCI upholds complaints against GCPL, HDFC Bank, others",2.16 pm,16-Dec-15
"Short Yes Bank, Axis Bank, ICICI Bank: Rajat Bose",12.51 pm,15-Dec-15
Banks asset quality may stabilise in 18 months: PhillipCap,1.37 pm,14-Dec-15
Super Six short term picks for December 14,8.52 am,14-Dec-15
Buy Voltas; sell HDFC Bank: Hemen Kapadia,3.10 pm,11-Dec-15
Buy Suven Life Sciences: Rajat Bose,2.43 pm,11-Dec-15
"Like Tata Motors, prefer ICICI Bank: R Sreesankar",4.35 pm,10-Dec-15
